区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房
丰台,1,0,43.8,中,1,0
东城,3,1,64.7,高,1,1
朝阳,2,1,62.6,中,1,0
丰台,1,1,37.8,中,1,0
东城,2,1,57.9,中,0,0
朝阳,2,2,115.9,低,1,0
朝阳,1,0,50.7,中,1,0
海淀,3,1,156.8,中,1,0
朝阳,3,1,77,中,1,0
朝阳,3,2,154.7,低,1,1
丰台,2,2,77.2,高,1,0
朝阳,3,2,96.4,低,1,1
海淀,2,0,64.4,低,1,0
石景山,1,1,43.6,低,1,0
石景山,2,2,87.2,中,1,0
西城,3,1,79.7,高,1,1
石景山,2,2,85.2,低,1,0
海淀,2,2,87.2,中,1,0
石景山,2,1,63.9,高,1,0
西城,2,1,74.4,低,1,0
朝阳,3,2,167.8,低,1,0
丰台,2,1,82.9,低,1,0
石景山,2,1,46.6,低,1,0
朝阳,2,1,78.2,高,1,0
朝阳,2,1,96.8,中,0,0
西城,2,1,94.8,低,1,0
丰台,3,1,112,高,0,0
东城,2,1,60.2,中,1,1
丰台,1,1,63.9,低,1,0
丰台,3,2,88.6,低,1,0
丰台,2,2,100.3,中,1,0
石景山,2,2,93.1,低,1,0
西城,2,2,100,低,1,0
朝阳,2,1,125.3,高,1,0
东城,2,1,96,中,1,1
东城,3,1,61.9,高,1,0
西城,2,1,59.7,中,1,1
东城,1,1,51.3,低,1,0
朝阳,4,2,163.5,中,0,1
海淀,2,1,70.3,高,1,0
海淀,2,1,65.9,中,1,0
朝阳,3,2,170.2,高,1,0
东城,2,1,80.1,高,1,1
海淀,2,1,54.7,中,1,0
东城,2,2,151.7,中,1,0
丰台,2,1,55.5,高,0,0
朝阳,3,2,140.2,低,1,0
朝阳,2,1,94.1,低,1,0
朝阳,4,3,258,低,1,1
海淀,2,1,62.4,高,1,1
海淀,3,2,228.1,中,1,0
石景山,2,1,78.9,高,0,0
丰台,2,1,107.4,低,0,0
石景山,2,1,57.2,低,1,0
丰台,2,1,56.7,低,1,0
西城,3,1,85.8,高,1,1
西城,3,0,63,高,1,1
西城,1,0,29.7,低,1,0
海淀,4,2,133.1,高,0,0
朝阳,3,2,161.8,中,1,0
东城,2,1,60,中,1,0
丰台,2,1,64.1,中,1,0
海淀,1,1,40.2,高,1,0
西城,1,1,49.1,高,1,0
石景山,1,1,40,高,1,0
丰台,2,1,59.1,低,1,0
朝阳,1,1,58.8,中,1,1
丰台,2,1,59.8,中,1,0
丰台,3,1,109,低,1,0
朝阳,2,1,113.5,高,1,0
海淀,1,0,51,低,0,0
西城,2,1,83.1,低,0,0
朝阳,3,1,75.3,中,1,0
西城,2,1,63.5,低,1,0
丰台,3,1,101.7,低,1,0
东城,1,1,36.8,高,1,1
石景山,2,1,80.6,高,1,0
朝阳,2,2,172.4,高,1,1
东城,3,2,147.1,中,1,0
朝阳,2,1,78.8,高,0,0
丰台,2,1,67.1,低,1,0
海淀,1,1,53.2,中,1,0
石景山,3,1,79.1,低,0,0
丰台,2,1,57.9,高,1,0
朝阳,2,1,49.8,低,1,0
丰台,2,1,86.1,低,0,0
朝阳,4,2,200.2,低,0,0
西城,2,1,61.6,中,1,0
西城,2,1,60.1,高,1,1
石景山,2,1,91.3,高,1,0
西城,1,0,33.1,低,0,0
石景山,2,2,133.9,高,1,0
东城,1,1,59.9,高,1,0
朝阳,1,1,55.2,低,1,0
海淀,3,1,71.6,中,1,1
东城,2,1,64.4,低,0,0
朝阳,3,2,183,中,0,0
石景山,3,2,142.3,高,1,0
海淀,2,2,132.8,高,1,1
西城,2,1,75.8,高,1,0
西城,3,2,182.7,低,1,0
朝阳,3,1,68.3,中,1,0
东城,4,0,59,低,1,0
朝阳,2,2,135.6,低,1,1
西城,3,1,122.4,中,0,1
丰台,1,1,50.2,高,1,0
东城,2,1,90.7,中,0,0
西城,2,1,80.2,高,1,0
东城,1,1,78.7,高,1,0
海淀,1,1,44.6,高,1,0
石景山,2,1,56.9,高,1,0
海淀,3,2,124.1,高,0,0
朝阳,3,2,161.9,中,1,0
石景山,2,1,77.4,低,1,0
东城,2,1,81.8,低,1,0
石景山,1,1,71.4,低,0,0
丰台,1,1,47.6,中,1,0
朝阳,1,2,74.9,中,1,0
西城,3,1,117.4,高,0,0
海淀,1,1,59,低,0,0
石景山,2,1,54.4,中,1,0
东城,1,1,60.9,低,1,1
西城,2,1,58,高,1,0
海淀,2,2,108.1,中,1,0
东城,3,1,72.7,低,1,0
石景山,3,2,126.8,低,0,0
海淀,2,1,59.6,高,0,0
丰台,2,2,135.1,高,1,0
西城,1,1,47,高,1,1
石景山,1,1,52.5,中,0,0
东城,1,2,75,中,1,0
丰台,3,1,103.5,高,1,0
朝阳,3,2,145.8,高,1,0
石景山,1,1,53,中,1,0
东城,3,2,192.8,中,1,0
海淀,2,1,68.3,中,1,1
海淀,1,1,40.6,中,1,1
东城,1,1,76.6,高,1,0
朝阳,2,1,57.4,低,1,0
朝阳,3,1,127.4,低,1,0
朝阳,3,1,151.4,中,1,1
石景山,2,1,74.2,中,1,0
丰台,2,1,91.4,低,1,0
东城,2,1,68.6,中,1,0
东城,1,0,93.6,低,1,0
东城,2,2,75.6,高,1,1
丰台,1,1,60.7,高,1,1
朝阳,3,2,170.3,中,1,0
海淀,2,1,81.1,中,1,1
海淀,2,1,112.6,中,1,1
海淀,1,1,59.3,高,1,1
丰台,2,1,64.4,中,1,0
东城,3,1,102.6,高,1,0
朝阳,3,1,107.1,中,1,0
东城,2,1,61.1,中,1,1
丰台,4,2,258.9,中,1,1
海淀,1,1,46.1,低,1,0
丰台,2,1,93.7,低,1,0
海淀,1,1,43.9,中,1,0
东城,1,1,52.5,中,1,1
西城,2,2,93.3,高,1,0
西城,2,1,53.5,中,0,1
海淀,3,1,83.9,低,1,1
朝阳,1,1,58.1,高,0,0
朝阳,1,1,38.5,高,1,1
丰台,2,1,68,低,1,0
东城,3,1,114.5,低,1,0
东城,2,1,58.3,高,1,0
西城,3,1,67.5,高,0,1
石景山,1,1,54.7,高,0,0
西城,3,1,84.4,高,1,1
西城,1,1,53.1,高,1,1
丰台,2,1,72.3,中,1,0
东城,2,2,192.6,低,1,0
石景山,4,1,264.1,中,0,0
丰台,3,1,91,中,1,0
朝阳,2,2,94.4,低,1,1
朝阳,2,2,88.9,高,1,0
海淀,3,1,85.2,中,1,0
海淀,3,2,174.3,中,1,0
朝阳,3,2,127.3,中,1,1
西城,2,2,101.4,低,1,0
东城,3,1,89.9,中,1,0
朝阳,4,2,174.8,高,1,0
石景山,2,1,59.7,中,1,0
丰台,2,1,90.9,中,1,0
西城,2,1,59.8,低,1,1
丰台,2,1,113.4,高,0,0
东城,2,2,102.1,中,1,1
石景山,2,1,84.4,中,1,0
朝阳,3,2,93.1,低,1,1
石景山,2,1,86.2,中,0,0
东城,3,2,266.6,中,1,0
海淀,3,1,167.9,低,1,0
石景山,1,1,44,高,0,0
西城,1,0,54.2,高,1,0
石景山,2,1,88.3,高,1,0
石景山,2,1,61.7,高,1,0
石景山,2,1,83.6,高,1,0
朝阳,3,2,136.3,高,1,0
东城,3,1,83.5,低,1,0
海淀,1,0,39.9,高,1,0
东城,2,1,72.4,低,1,0
西城,2,1,64.3,低,0,1
朝阳,1,1,71,中,0,0
西城,3,1,84.3,低,1,1
东城,2,1,57.7,高,1,0
海淀,3,2,140.2,高,1,0
东城,3,2,231.9,中,1,1
石景山,1,1,64.7,中,1,0
东城,3,1,67.2,高,1,0
东城,5,2,161.4,高,1,1
东城,1,1,48.1,高,1,1
朝阳,2,1,68.7,低,1,1
东城,2,2,143.9,低,1,1
东城,2,1,81.7,中,1,1
石景山,2,1,43.7,高,1,0
石景山,4,2,159.7,低,1,0
朝阳,3,2,145.8,中,1,0
朝阳,3,2,160,中,0,0
东城,3,1,88.8,高,0,0
东城,2,1,76.3,低,1,0
丰台,3,1,65.9,低,1,0
朝阳,2,2,119.2,高,1,0
朝阳,2,1,51.7,高,1,1
朝阳,2,2,120.1,中,1,0
东城,2,1,78.4,低,1,0
西城,2,1,58.1,低,1,1
丰台,2,1,88.5,高,0,0
石景山,2,1,61.4,中,0,0
丰台,2,2,92.4,中,0,0
西城,4,2,253,中,1,1
西城,2,1,97.8,中,1,0
丰台,2,2,76.7,高,1,0
朝阳,2,1,80.2,中,0,0
西城,2,1,56.2,低,1,0
丰台,1,1,47.9,低,1,0
海淀,3,1,144.9,高,1,1
西城,3,1,67.1,中,1,0
西城,3,1,91.7,中,1,1
石景山,3,2,69.3,低,1,0
西城,4,1,178.7,中,1,1
丰台,3,1,116.4,低,1,0
朝阳,2,1,101.2,高,1,0
东城,2,1,75.6,低,1,0
朝阳,2,1,105,中,1,0
西城,2,1,92.3,低,1,0
西城,2,1,52.6,中,1,1
丰台,2,1,59.8,中,1,0
丰台,2,1,93,低,0,0
朝阳,3,2,119.3,高,1,1
西城,2,1,61.4,高,1,1
朝阳,2,2,96.9,中,1,0
西城,3,2,145,中,1,1
海淀,2,2,104.6,低,1,1
海淀,2,1,93.9,高,1,1
丰台,1,1,51.3,高,1,0
西城,2,1,82,高,1,0
海淀,2,1,105.1,中,1,1
朝阳,2,2,104.4,高,1,0
朝阳,2,1,57.7,高,1,0
石景山,1,1,60.5,低,1,0
朝阳,3,2,184,高,1,0
丰台,2,1,95.2,中,0,0
海淀,1,0,38.6,中,1,1
西城,1,1,30.4,高,1,0
丰台,4,2,143.4,高,0,0
东城,2,1,75.3,低,1,0
西城,1,0,55,高,0,0
丰台,1,0,49,高,1,0
海淀,2,1,70.1,高,1,0
海淀,2,1,62,中,1,1
朝阳,2,1,76.9,高,1,1
西城,2,1,50.4,低,1,1
丰台,3,1,74.6,高,1,0
海淀,2,1,54.1,高,0,0
丰台,2,1,87.1,低,1,0
海淀,2,1,88.8,中,1,0
西城,1,0,41.2,高,0,0
海淀,2,1,51.6,高,1,0
石景山,2,1,58,高,1,0
朝阳,3,2,203.4,低,1,0
朝阳,3,2,186.5,中,0,0
石景山,2,1,108.4,低,0,0
石景山,2,1,64.1,中,1,0
丰台,2,1,61.9,高,1,0
海淀,1,1,44.2,中,1,0
丰台,2,1,55.5,中,1,0
石景山,2,1,70,低,1,0
朝阳,2,2,124.6,高,1,0
东城,3,2,87.5,低,1,1
丰台,1,1,71.8,高,1,0
海淀,3,1,68.8,中,1,0
丰台,2,1,57.8,高,1,0
东城,1,1,55.5,低,1,1
丰台,3,1,68.6,高,1,0
朝阳,2,2,101.1,高,1,1
朝阳,1,0,57.7,低,1,0
东城,1,1,58.6,中,1,1
西城,3,1,68.8,中,1,1
西城,4,2,176.9,低,1,1
海淀,2,1,61.9,高,1,1
东城,1,0,34.5,低,1,0
石景山,2,2,94.2,高,0,0
东城,2,1,68,中,1,0
海淀,1,1,32.8,中,1,1
海淀,2,1,78.9,高,1,0
石景山,5,3,286.3,低,0,0
海淀,2,1,54.7,低,1,1
东城,1,1,73.7,低,1,1
石景山,2,2,97.6,中,1,0
西城,2,1,67.4,中,1,1
西城,2,2,104.9,低,1,0
东城,1,1,74.7,低,1,1
朝阳,2,2,93.4,中,1,0
朝阳,2,2,116,中,1,0
海淀,2,1,57.2,高,1,0
海淀,3,1,119.4,高,1,1
西城,2,1,66.7,中,1,0
海淀,1,1,47.5,中,1,0
海淀,3,2,102.6,低,1,0
朝阳,3,2,119.2,低,0,0
朝阳,2,2,103,低,1,0
丰台,2,1,54.6,中,0,0
丰台,1,1,45.5,高,1,0
海淀,3,1,79.1,中,1,1
丰台,4,2,237,高,0,0
朝阳,2,2,110.6,高,0,1
东城,2,1,52.8,中,1,0
西城,1,1,44.1,中,1,0
海淀,3,1,71.1,低,1,1
西城,2,1,62.9,低,1,1
海淀,2,2,94.4,低,1,1
丰台,2,2,123.1,高,1,0
东城,2,1,62.1,中,1,1
西城,1,1,50.9,中,1,0
海淀,2,1,52.7,中,1,0
海淀,3,0,92.3,高,0,1
西城,1,1,40.2,中,1,0
朝阳,3,2,154.1,中,1,1
丰台,2,1,92.4,高,0,0
西城,3,1,62.1,高,0,1
丰台,1,2,62.4,中,1,0
丰台,2,2,97.2,中,1,0
朝阳,3,2,185.6,中,1,1
朝阳,2,1,57.4,低,1,1
朝阳,3,2,140.7,高,1,0
石景山,1,1,60.8,低,0,0
西城,2,1,68.5,高,1,1
西城,1,1,38.6,高,1,0
丰台,3,1,118.1,高,1,0
海淀,2,1,64.7,中,1,0
丰台,1,1,67.8,低,1,0
丰台,1,1,67.2,低,0,0
丰台,1,0,47.9,中,1,0
朝阳,4,2,296.3,低,0,0
朝阳,2,2,99.9,中,1,0
东城,1,1,71.9,中,1,1
丰台,2,1,120.4,高,1,0
西城,2,1,57.6,高,0,1
石景山,2,1,97.6,低,0,0
东城,1,1,50,中,1,1
石景山,2,1,84.2,高,1,0
朝阳,1,1,64.3,高,1,0
丰台,2,1,56.9,高,0,0
丰台,3,1,130.9,中,0,0
朝阳,2,1,81.6,中,0,0
东城,2,1,85.9,低,1,1
朝阳,2,1,58.4,中,1,1
丰台,2,1,74.7,高,1,0
石景山,1,1,51.6,高,1,0
丰台,2,1,81.3,高,1,0
朝阳,3,2,140,低,0,1
东城,3,2,178.2,低,1,0
东城,1,1,78.6,高,1,1
朝阳,2,1,125.1,低,1,0
海淀,3,1,59.3,低,1,1
丰台,3,2,161.5,中,1,0
西城,2,1,63.1,高,1,1
朝阳,1,1,53.4,高,1,0
海淀,3,2,168.8,低,1,0
西城,2,1,62,低,1,1
朝阳,4,1,132.8,低,1,1
石景山,2,1,55.5,高,0,0
西城,2,1,56.2,低,1,1
海淀,2,2,125.2,中,1,1
海淀,2,1,78.5,低,1,0
丰台,2,1,54.9,高,0,0
朝阳,2,1,108.5,中,1,0
丰台,3,2,148.4,高,1,0
海淀,1,1,56.1,中,1,1
海淀,3,1,128.6,低,1,0
东城,1,1,61.5,中,0,0
西城,3,1,76.8,低,1,1
朝阳,3,2,113.9,中,0,0
西城,2,1,59.5,低,0,1
东城,2,1,79.9,高,1,0
丰台,2,1,91.9,中,1,0
海淀,2,1,57.2,中,1,1
东城,3,1,156.2,中,1,1
西城,2,1,59.2,高,1,1
海淀,2,1,135.2,中,1,0
东城,1,0,65.8,中,1,0
海淀,1,1,74.2,中,1,0
东城,1,0,99.8,低,1,1
丰台,2,1,102.4,低,1,0
丰台,4,2,200.6,高,1,0
海淀,1,1,66.7,高,1,0
朝阳,2,1,84.3,高,1,0
海淀,3,1,72.5,高,1,0
海淀,2,1,67.2,中,1,0
东城,3,1,59.2,高,1,0
石景山,2,1,59.3,低,1,0
海淀,1,1,62.3,高,1,0
西城,2,1,56.9,高,1,1
海淀,2,1,66.1,低,1,1
丰台,2,1,84,低,0,0
海淀,2,1,49.5,高,1,0
西城,1,1,43.3,中,1,1
东城,2,1,85.1,低,1,0
西城,2,1,69,中,1,0
丰台,3,1,75.4,高,0,0
东城,3,1,85.9,高,1,1
丰台,3,2,159.6,中,1,0
石景山,1,1,51.7,低,1,0
海淀,4,2,268.7,低,0,0
丰台,3,1,74.4,中,1,0
石景山,2,1,51.4,中,0,0
石景山,2,1,64.4,中,1,0
丰台,2,2,92.4,低,1,0
朝阳,3,2,219.1,中,1,0
东城,3,2,146,低,1,0
丰台,2,1,53.6,高,1,0
东城,2,1,116.3,高,1,1
西城,1,1,32.5,中,1,0
丰台,2,1,53.3,低,0,0
朝阳,3,1,91.8,低,0,0
丰台,3,2,153.4,中,1,0
丰台,3,1,169.3,中,1,0
丰台,2,1,92,低,0,0
丰台,3,1,118,中,1,0
石景山,2,1,102.3,高,0,0
石景山,2,1,57.3,中,1,0
海淀,2,0,67.7,高,1,1
西城,2,1,131.2,中,1,0
东城,2,1,48.1,低,1,1
朝阳,3,2,170.6,高,1,0
西城,2,1,58.9,中,1,1
丰台,3,1,145.6,低,1,0
海淀,2,1,60.8,低,1,0
西城,2,1,90.5,中,1,0
西城,2,1,66.9,低,1,0
东城,3,2,186,低,1,0
朝阳,1,1,55.4,低,1,0
石景山,2,1,66.8,高,0,0
东城,2,1,69,低,1,1
西城,1,1,35.6,高,1,0
丰台,2,1,57.1,高,0,0
海淀,2,1,58.5,中,1,1
石景山,1,2,46.5,中,1,0
西城,2,1,50.2,低,1,0
东城,2,0,51.2,高,1,0
朝阳,3,2,149.1,高,1,1
西城,2,1,78.5,低,1,0
朝阳,1,1,61.3,低,1,0
丰台,2,1,62.5,高,1,0
西城,2,1,53.7,高,1,1
海淀,3,2,141.8,低,0,0
东城,2,1,60.7,低,1,1
西城,2,1,81,中,1,1
东城,2,1,61,低,1,0
东城,2,1,72.6,中,1,1
东城,2,1,64.9,高,1,1
东城,2,1,81.6,高,1,0
东城,1,1,63.4,低,1,1
朝阳,2,1,84.6,高,0,0
丰台,3,2,141.8,低,1,0
海淀,2,1,56.8,中,1,0
东城,1,1,62.7,中,1,1
海淀,2,1,91.7,高,1,0
丰台,2,2,95.9,高,1,0
朝阳,3,2,128.6,中,1,0
朝阳,2,1,59.1,中,1,0
西城,4,1,108.1,高,1,1
丰台,3,2,136,中,1,0
东城,1,2,85.7,低,1,0
海淀,2,1,63.6,中,1,0
丰台,1,0,42.5,高,0,0
西城,2,1,60.7,高,1,1
海淀,3,1,64.1,低,1,1
海淀,3,2,160.3,高,1,1
丰台,3,1,85.8,低,1,1
东城,2,1,75.6,低,1,0
海淀,2,1,92.8,高,0,0
海淀,4,2,161.2,高,0,1
丰台,2,1,51.5,中,1,0
石景山,2,1,89.4,高,1,0
丰台,2,1,77.4,低,1,0
石景山,3,1,87.1,高,1,0
东城,2,1,55.6,中,1,1
东城,2,1,54.3,中,1,0
丰台,3,2,157.7,中,1,0
